"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 23:24:07 BRT 2022","Sat Dec 03 23:24:08 BRT 2022","261","","Login","","","","Validar login sem preencher campos",""
"passed","Sat Dec 03 23:24:38 BRT 2022","Sat Dec 03 23:24:43 BRT 2022","5257","","Registrar Usuario","","","","Validar criar usuario com sucesso",""
"passed","Sat Dec 03 23:23:23 BRT 2022","Sat Dec 03 23:23:24 BRT 2022","1591","","Troca de senha","","","","Validar troca de senha sem preencher campos",""
"passed","Sat Dec 03 23:24:08 BRT 2022","Sat Dec 03 23:24:08 BRT 2022","842","","Login","","","","Validar login sem preencher campo senha",""
"passed","Sat Dec 03 23:23:35 BRT 2022","Sat Dec 03 23:23:37 BRT 2022","1636","","Dashboard","","","","Busca candidato por trilha",""
"passed","Sat Dec 03 23:24:09 BRT 2022","Sat Dec 03 23:24:09 BRT 2022","277","","Login","","","","Validar redirecionamento esqueci minha senhna",""
"passed","Sat Dec 03 23:24:43 BRT 2022","Sat Dec 03 23:24:44 BRT 2022","1444","","Registrar Usuario","","","","Validar criar usuario sem preencher campos",""
"passed","Sat Dec 03 23:23:33 BRT 2022","Sat Dec 03 23:23:35 BRT 2022","1791","","Dashboard","","","","Busca candidato por edicao",""
"passed","Sat Dec 03 23:24:20 BRT 2022","Sat Dec 03 23:24:30 BRT 2022","10786","","Registrar Entrevista","","","","Validar criar entrevista com sucesso",""
"passed","Sat Dec 03 23:24:06 BRT 2022","Sat Dec 03 23:24:07 BRT 2022","1247","","Login","","","","Validar login com erro",""
"passed","Sat Dec 03 23:24:30 BRT 2022","Sat Dec 03 23:24:32 BRT 2022","1620","","Registrar Entrevista","","","","Validar criar entrevista sem preencher campos",""
"passed","Sat Dec 03 23:24:05 BRT 2022","Sat Dec 03 23:24:06 BRT 2022","1489","","Login","","","","Validar login com sucesso",""
"passed","Sat Dec 03 23:24:16 BRT 2022","Sat Dec 03 23:24:18 BRT 2022","1492","","Registrar Candidato","","","","Validar criar candidato sem preencher campos",""
"passed","Sat Dec 03 23:23:45 BRT 2022","Sat Dec 03 23:24:03 BRT 2022","17550","","fluxo teste","","","","cadastro de candidato e marcaçao de entrevista",""
"passed","Sat Dec 03 23:24:08 BRT 2022","Sat Dec 03 23:24:09 BRT 2022","499","","Login","","","","Validar login sem preencher campo user",""
"passed","Sat Dec 03 23:24:11 BRT 2022","Sat Dec 03 23:24:16 BRT 2022","5045","","Registrar Candidato","","","","Validar criar candidato com sucesso",""
"passed","Sat Dec 03 23:23:37 BRT 2022","Sat Dec 03 23:23:43 BRT 2022","6126","","Dashboard","","","","edit perfil",""
"passed","Sat Dec 03 23:23:26 BRT 2022","Sat Dec 03 23:23:32 BRT 2022","5543","","Dashboard","","","","Busca candidato por nome",""
